Date,Country,City,Street,Type,Subtype,Location
,FR,Les Ulis,Rue de la Réunion,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.201157 48.681159)
,FR,Orsay,Boulevard de la Terrasse,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.199515 48.69992)
,FR,Wissous,Rue Marcellin Berthelot,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.316785 48.738968)
,FR,Villebon-sur-Yvette,Rue du Grand Dôme,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.227149 48.690585)
,FR,Verrières-le-Buisson,Avenue Cambacérès,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.269198 48.741414)
,FR,La Ville-du-Bois,Rue du Grand Noyer,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.270652 48.661546)
,FR,Verrières-le-Buisson,Boulevard du Maréchal Foch,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.266279 48.743946)
,FR,Les Ulis,Avenue de l'Atlantique,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.199427 48.683418)
,FR,Les Ulis,Avenue des Tropiques,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.19039 48.6846)
,FR,Les Ulis,Avenue des Tropiques,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.192556 48.684778)
,FR,La Ville-du-Bois,Vieux Chemin de Montlhéry,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.268082 48.654381)
,FR,Les Ulis,Avenue de l'Atlantique,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.199274 48.68234)
,FR,Marcoussis,Route de Montlhéry,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.211905 48.665179)
,FR,Wissous,Rue Marcellin Berthelot,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.316167 48.737782)
,FR,Marcoussis,Rue Eugène Moutard Martin,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.229197 48.642255)
