Date,Country,City,Street,Type,Subtype,Location
14 mars 2024,FR,Palaiseau,Rue de l'Effort Mutuel,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.240735 48.727153)
14 mars 2024,FR,Longjumeau,,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.29985 48.68859)
13 mars 2024,FR,Les Ulis,Avenue de Normandie,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.168043 48.68701)
12 mars 2024,FR,Les Ulis,Avenue de Normandie,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.167553 48.687049)
11 mars 2024,FR,Les Ulis,Avenue de Normandie,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.167987 48.687014)
11 mars 2024,FR,La Ville-du-Bois,Chemin des Forêts,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.275798 48.664374)
11 mars 2024,FR,Palaiseau,Rue de la Sablière,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.234465 48.727188)
11 mars 2024,FR,Igny,Avenue Irène et Frédéric Joliot-Curie,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.228518 48.731351)
11 mars 2024,FR,Les Ulis,Avenue de Normandie,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.168093 48.687007)
8 mars 2024,FR,Orsay,Rue de la Ferme,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.186091 48.684472)
7 mars 2024,FR,Igny,Route de Vauhallan,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.221719 48.737318)
6 mars 2024,FR,Les Ulis,Avenue des Tropiques,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.189088 48.684535)
5 mars 2024,FR,Marcoussis,Route du Chêne Rond,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.202943 48.643281)
5 mars 2024,FR,Verrières-le-Buisson,Rue d'Antony,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.268409 48.747657)
2 mars 2024,FR,La Ville-du-Bois,Vieux Chemin de Montlhéry,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.268354 48.651369)
2 mars 2024,FR,Orsay,Route de Montlhéry,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.181451 48.689823)
29 févr. 2024,FR,Les Ulis,Avenue du Berry,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.167957 48.682664)
26 févr. 2024,FR,Palaiseau,Avenue du Général Leclerc,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.231889 48.703889)
26 févr. 2024,FR,Orsay,D446,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.18855 48.683995)
26 févr. 2024,FR,Les Ulis,Avenue des Tropiques,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.189422 48.684527)
25 févr. 2024,FR,Verrières-le-Buisson,Rue Jean-Baptiste Clément,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.270776 48.760439)
24 févr. 2024,FR,Palaiseau,Rue Charles Gounod,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.206349 48.707636)
24 févr. 2024,FR,Verrières-le-Buisson,Rue Jean-Baptiste Clément,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.270389 48.759577)
24 févr. 2024,FR,Verrières-le-Buisson,Rue Jean-Baptiste Clément,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.270841 48.760611)
23 févr. 2024,FR,Verrières-le-Buisson,Rue Jean-Baptiste Clément,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.270528 48.759914)
23 févr. 2024,FR,Orsay,Résidence de l'Yvette,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.194473 48.697475)
23 févr. 2024,FR,Orsay,Route de Montlhéry,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.187995 48.685096)
23 févr. 2024,FR,Les Ulis,Avenue des Tropiques,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.189055 48.684539)
23 févr. 2024,FR,Verrières-le-Buisson,Rue Jean-Baptiste Clément,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.270819 48.760538)
22 févr. 2024,FR,Verrières-le-Buisson,Rue Jean-Baptiste Clément,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.270743 48.760366)
22 févr. 2024,FR,Verrières-le-Buisson,Rue Jean-Baptiste Clément,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.270329 48.759416)
22 févr. 2024,FR,Wissous,Route d'Antony,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.319922 48.741682)
21 févr. 2024,FR,Les Ulis,D446,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.189074 48.682954)
21 févr. 2024,FR,Verrières-le-Buisson,Avenue Georges Pompidou,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.275357 48.753964)
21 févr. 2024,FR,Verrières-le-Buisson,Avenue Georges Pompidou,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.275111 48.754157)
21 févr. 2024,FR,Verrières-le-Buisson,Avenue Georges Pompidou,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.276982 48.752672)
21 févr. 2024,FR,Verrières-le-Buisson,Avenue Georges Pompidou,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.273793 48.755073)
19 févr. 2024,FR,La Ville-du-Bois,Avenue de la Division Leclerc,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.278204 48.666031)
17 févr. 2024,FR,La Ville-du-Bois,,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.277012 48.667973)
16 févr. 2024,FR,Les Ulis,Route de Montlhéry,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.194609 48.672375)
16 févr. 2024,FR,Verrières-le-Buisson,,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.266777 48.743974)
14 févr. 2024,FR,Wissous,Route d'Antony,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.31749 48.743143)
14 févr. 2024,FR,Wissous,Route d'Antony,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.318593 48.742536)
14 févr. 2024,FR,Wissous,Route d'Antony,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.317642 48.743147)
12 févr. 2024,FR,Longjumeau,Rue Georges Bizet,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.298381 48.699301)
12 févr. 2024,FR,Longjumeau,Rue du Président François Mitterrand,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.296102 48.699577)
12 févr. 2024,FR,Longjumeau,Rue Georges Bizet,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.296257 48.699785)
12 févr. 2024,FR,Palaiseau,Avenue du 8 Mai 1945,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.245652 48.712409)
11 févr. 2024,FR,La Ville-du-Bois,Avenue de la Division Leclerc,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.276144 48.660695)
10 févr. 2024,FR,Palaiseau,Avenue du 8 Mai 1945,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.246032 48.712781)
8 févr. 2024,FR,Les Ulis,Avenue de Provence,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.184242 48.675201)
8 févr. 2024,FR,Orsay,Rue Archangé,HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Point(2.185068 48.69689)
