Date,Country,City,Street,Type,Subtype,Location
28 déc. 2022,FR,Ballainvilliers,Avenue de la Division Leclerc,ACCIDENT,ACCIDENT_MINOR,Point(2.278128 48.665527)
26 déc. 2022,FR,Longjumeau,Avenue du Maréchal Leclerc,ACCIDENT,ACCIDENT_MINOR,Point(2.294892 48.697474)
26 déc. 2022,FR,Longjumeau,Rue de Chilly,ACCIDENT,ACCIDENT_MINOR,Point(2.298459 48.697726)
25 déc. 2022,FR,Palaiseau,Rue Charles Péguy,ACCIDENT,ACCIDENT_MINOR,Point(2.214739 48.705165)
24 déc. 2022,FR,Verrières-le-Buisson,Boulevard du Maréchal Juin,ACCIDENT,ACCIDENT_MINOR,Point(2.272117 48.750674)
24 déc. 2022,FR,Les Ulis,,ACCIDENT,ACCIDENT_MINOR,Point(2.194399 48.676118)
24 déc. 2022,FR,Les Ulis,,ACCIDENT,ACCIDENT_MINOR,Point(2.19395 48.676371)
23 déc. 2022,FR,Marcoussis,Rue Alfred Dubois,ACCIDENT,ACCIDENT_MINOR,Point(2.235718 48.641133)
23 déc. 2022,FR,Saclay,Rue de la Martinière,ACCIDENT,ACCIDENT_MINOR,Point(2.175357 48.72898)
23 déc. 2022,FR,Villebon-sur-Yvette,Rue des Maraîchers,ACCIDENT,ACCIDENT_MINOR,Point(2.243834 48.700279)
23 déc. 2022,FR,Ballainvilliers,Avenue de la Division Leclerc,ACCIDENT,ACCIDENT_MINOR,Point(2.277287 48.663357)
23 déc. 2022,FR,Linas,Avenue Georges Boillot,ACCIDENT,ACCIDENT_MINOR,Point(2.260359 48.626796)
23 déc. 2022,FR,Ballainvilliers,Avenue de la Division Leclerc,ACCIDENT,ACCIDENT_MINOR,Point(2.27768 48.664371)
22 déc. 2022,FR,Villebon-sur-Yvette,Rue des Casseaux,ACCIDENT,ACCIDENT_MINOR,Point(2.221077 48.700311)
22 déc. 2022,FR,Palaiseau,Rue Maurice Berteaux,ACCIDENT,ACCIDENT_MINOR,Point(2.240541 48.717635)
22 déc. 2022,FR,La Ville-du-Bois,Rue du Grand Noyer,ACCIDENT,ACCIDENT_MINOR,Point(2.275339 48.664249)
22 déc. 2022,FR,Les Ulis,Avenue des Tropiques,ACCIDENT,ACCIDENT_MINOR,Point(2.188805 48.68458)
22 déc. 2022,FR,Ballainvilliers,Route de la Grange aux Cercles,ACCIDENT,ACCIDENT_MINOR,Point(2.287038 48.669384)
22 déc. 2022,FR,Les Ulis,Avenue des Tropiques,ACCIDENT,ACCIDENT_MINOR,Point(2.189575 48.684539)
22 déc. 2022,FR,Saulx-les-Chartreux,Route de Montlhéry,ACCIDENT,ACCIDENT_MINOR,Point(2.264192 48.68119)
22 déc. 2022,FR,Verrières-le-Buisson,Rue d'Antony,ACCIDENT,ACCIDENT_MINOR,Point(2.267767 48.747378)
21 déc. 2022,FR,La Ville-du-Bois,Avenue de la Division Leclerc,ACCIDENT,ACCIDENT_MINOR,Point(2.278845 48.667728)
21 déc. 2022,FR,La Ville-du-Bois,Avenue de la Division Leclerc,ACCIDENT,ACCIDENT_MINOR,Point(2.278459 48.666696)
20 déc. 2022,FR,Saulx-les-Chartreux,Avenue Salvador Allende,ACCIDENT,ACCIDENT_MINOR,Point(2.285312 48.694142)
20 déc. 2022,FR,Wissous,Avenue Le Concorde,ACCIDENT,ACCIDENT_MINOR,Point(2.302658 48.720906)
19 déc. 2022,FR,Les Ulis,Route de Montlhéry,ACCIDENT,ACCIDENT_MINOR,Point(2.194102 48.675255)
19 déc. 2022,FR,Les Ulis,Route de Montlhéry,ACCIDENT,ACCIDENT_MINOR,Point(2.194047 48.674692)
19 déc. 2022,FR,Les Ulis,Route de Montlhéry,ACCIDENT,ACCIDENT_MINOR,Point(2.194031 48.67526)
17 déc. 2022,FR,Saclay,D36,ACCIDENT,ACCIDENT_MINOR,Point(2.171627 48.728559)
17 déc. 2022,FR,Longjumeau,Avenue de l'Abbé Pierre,ACCIDENT,ACCIDENT_MINOR,Point(2.300285 48.697708)
17 déc. 2022,FR,Longjumeau,Avenue de l'Abbé Pierre,ACCIDENT,ACCIDENT_MINOR,Point(2.299539 48.697699)
